Original City,Original Country,Date,API City,API Country,API Longitude,API Latitude,Max Temperature,% Humidity,% Cloudiness,Wind Speed,Sunrise Time,Sunset Time
okhotsk,ru,1544412230,Okhotsk,RU,143.24,59.36,-19.58,100,0,3.76,1544397096,1544419653
tabas,ir,1544407200,Tabas,IR,56.92,33.6,7.0,52,0,2.1,1544411142,1544447061
salalah,om,1544410200,Salalah,OM,54.1,17.01,21.0,56,0,1.0,1544409730,1544449831
bowen,au,1544410800,Bowen,AU,148.25,-20.01,27.0,83,90,8.7,1544383216,1544431147
at-bashi,kg,1544412235,At-Bashi,KG,75.81,41.17,-9.78,80,80,0.16,1544407860,1544441272
middelburg,za,1544412237,Middelburg,ZA,29.46,-25.77,14.9,84,56,5.56,1544411018,1544460384
firminy,fr,1544410800,Firminy,FR,4.29,45.39,8.0,70,90,2.6,1544425887,1544457584
ancud,cl,1544410800,Ancud,CL,-73.83,-41.87,12.0,100,90,5.7,1544433222,1544487783
teeli,ru,1544412240,Teeli,RU,90.2,51.01,-33.83,38,0,0.31,1544406660,1544435559
coahuayana,mx,1544412241,Coahuayana,MX,-100.35,18.62,16.53,82,8,0.76,1544446992,1544486728
michigan city,us,1544411700,Michigan City,US,-86.9,41.71,-1.0,86,90,2.6,1544447035,1544480222
cockburn town,bs,1544412244,Cockburn Town,BS,-74.52,24.03,23.73,100,48,2.11,1544441423,1544479893
nabire,id,1544412245,Nabire,ID,135.5,-3.36,25.63,86,32,1.21,1544388075,1544432406
ojinaga,mx,1544410500,Ojinaga,MX,-104.42,29.57,10.7,76,1,3.1,1544449312,1544486360
kristianstad,se,1544410200,Kristianstad,SE,14.16,56.03,5.0,100,0,4.6,1544426605,1544452123
nome,us,1544411700,Nome,US,-94.42,30.04,8.9,100,40,3.01,1544446975,1544483895
noumea,nc,1544410800,Noumea,NC,166.46,-22.28,27.0,57,0,9.3,1544378573,1544427048
klaksvik,fo,1544410200,Klaksvik,FO,-6.59,62.23,2.0,64,68,5.1,1544434824,1544453865
kayerkan,ru,1544412252,Kayerkan,RU,87.76,69.35,-16.83,79,76,5.36,0,0
thinadhoo,mv,1544412253,Thinadhoo,MV,72.93,0.53,28.3,100,88,3.96,1544403491,1544447032
coihaique,cl,1544410800,Coihaique,CL,-72.07,-45.58,12.0,87,0,2.1,1544431981,1544488183
mombetsu,jp,1544410800,Mombetsu,JP,143.35,44.35,-4.0,45,75,9.8,1544392268,1544424432
price,us,1544410380,Price,US,-110.81,39.6,-4.4,83,1,2.6,1544452389,1544486349
uberlandia,br,1544412259,Uberlandia,BR,-48.28,-18.92,19.58,81,0,4.56,1544430521,1544478206
along,in,1544412260,Along,IN,94.8,28.17,13.5,42,8,0.91,1544401290,1544438726
victoria,sc,1544410800,Victoria,SC,55.45,-4.62,26.0,78,90,4.1,1544407164,1544451754
katsuura,jp,1544410800,Katsuura,JP,134.5,33.93,7.0,52,75,2.6,1544392562,1544428391
kiunga,pg,1544412265,Kiunga,PG,141.3,-6.12,32.08,61,20,1.21,1544386400,1544431297
washington,us,1544411700,Washington DC.,US,-77.04,38.9,1.7,49,75,5.1,1544444157,1544478366
souillac,mu,1544410800,Souillac,MU,57.52,-20.52,24.0,94,75,2.1,1544404935,1544452992
plettenberg bay,za,1544412269,Plettenberg Bay,ZA,23.37,-34.05,16.15,100,0,5.46,1544411295,1544463035
mayo,ca,1544410800,Mayo,CA,-135.9,63.59,3.0,64,90,4.1,1544466959,1544483818
porbandar,in,1544410800,Porbandar,IN,69.61,21.64,19.0,77,5,2.1,1544406531,1544445581
pevek,ru,1544412273,Pevek,RU,170.27,69.7,-24.63,100,36,1.41,0,0
battle creek,us,1544411760,Battle Creek,US,-85.18,42.32,-2.8,84,1,1.5,1544446739,1544479692
tura,ru,1544412275,Tura,RU,100.22,64.27,-26.03,64,88,1.26,1544410832,1544426570
hinton,ca,1544412057,Hinton,CA,-117.57,53.4,-4.73,74,56,2.56,1544457298,1544484682
murakami,jp,1544410800,Murakami,JP,139.58,38.29,4.0,93,75,9.3,1544392035,1544426478
buribay,ru,1544412281,Buribay,RU,58.16,51.96,-10.48,69,88,1.31,1544414635,1544442968
arlit,ne,1544412282,Arlit,NE,7.39,18.74,10.8,50,0,2.51,1544421138,1544460851
rio gallegos,ar,1544410800,Rio Gallegos,AR,-69.22,-51.62,14.0,50,90,2.6,1544429615,1544489187
ust-kuyga,ru,1544412284,Ust-Kuyga,RU,135.55,70.0,-38.5,73,44,1.31,0,0
hasaki,jp,1544410800,Hasaki,JP,140.83,35.73,8.0,48,75,4.6,1544391318,1544426595
pandan,ph,1544412287,Pandan,PH,122.09,11.72,27.03,100,64,7.21,1544392836,1544434080
vanimo,pg,1544412288,Vanimo,PG,141.3,-2.67,28.3,100,80,3.56,1544386753,1544430943
san luis,co,1544407200,San Luis,CO,-75.1,4.13,23.0,88,20,2.1,1544439396,1544482203
guane,cu,1544412290,Guane,CU,-84.09,22.2,24.43,83,44,1.76,1544443501,1544482411
labuhan,id,1544412292,Labuhan,ID,115.51,-2.54,27.88,82,48,1.41,1544392957,1544437122
bandarbeyla,so,1544412294,Bandarbeyla,SO,50.81,9.49,25.55,100,68,7.01,1544409717,1544451425
nanortalik,gl,1544412295,Nanortalik,GL,-45.24,60.14,-1.48,84,68,7.96,1544442796,1544464451
itarema,br,1544412296,Itarema,BR,-39.92,-2.92,25.28,91,92,2.86,1544430233,1544474476
sistranda,no,1544410200,Sistranda,NO,8.83,63.73,4.0,93,75,9.8,1544432300,1544448984
eldorado,mx,1544409720,Eldorado,MX,-107.36,24.32,21.0,77,5,2.51,1544449344,1544487741
ta khmau,kh,1544410800,Ta Khmau,KH,104.95,11.48,28.0,78,40,2.1,1544396926,1544438220
gweru,zw,1544412301,Gweru,ZW,29.82,-19.46,18.75,99,92,1.56,1544411710,1544459518
victoria point,au,1544410800,Victoria Point,AU,153.3,-27.58,30.0,54,20,5.7,1544381052,1544430889
lithakia,gr,1544408400,Lithakia,GR,20.83,37.72,16.0,67,88,2.1,1544420455,1544455076
olinda,br,1544410800,Olinda,BR,-43.41,-22.82,23.0,77,0,2.1,1544428884,1544477505
nagua,do,1544412307,Nagua,DO,-69.85,19.37,23.13,100,0,2.81,1544439754,1544479321
high level,ca,1544412308,High Level,CA,-117.13,58.52,-7.58,90,24,3.01,1544459226,1544482541
talnakh,ru,1544412309,Talnakh,RU,88.39,69.49,-18.83,82,76,3.21,0,0
greensburg,us,1544410500,Greensburg,US,-90.67,30.83,5.0,86,90,3.6,1544446183,1544482886
mehamn,no,1544412313,Mehamn,NO,27.85,71.03,-2.18,95,88,1.86,0,0
amnat charoen,th,1544412314,Amnat Charoen,TH,104.63,15.86,28.43,58,12,6.81,1544397471,1544437828
abakaliki,ng,1544412315,Abakaliki,NG,8.11,6.32,20.08,85,24,1.21,1544419642,1544462003
springdale,us,1544410680,Springdale,US,-94.13,36.19,-1.0,63,5,3.1,1544447811,1544482919
punta alta,ar,1544410800,Punta Alta,AR,-55.82,-27.46,24.0,64,0,1.5,1544431265,1544481086
forio,it,1544410200,Forio,IT,13.86,40.73,14.0,76,0,2.6,1544422655,1544456222
the valley,ai,1544410800,The Valley,AI,-63.06,18.22,26.0,69,20,6.7,1544437994,1544477821
mogadishu,so,1544412322,Mogadishu,SO,45.34,2.04,27.13,99,44,7.16,1544410268,1544453502
taoudenni,ml,1544412323,Taoudenni,ML,-3.98,22.68,9.5,58,0,3.96,1544424324,1544463123
brainerd,us,1544411700,Brainerd,US,-94.2,46.36,-7.8,80,1,2.6,1544449757,1544481004
roebourne,au,1544412326,Roebourne,AU,117.15,-20.77,39.88,29,0,3.76,1544390592,1544438705
hovd,mn,1544412327,Hovd,MN,91.64,48.01,-30.0,55,20,1.31,1544405518,1544436011
carnarvon,au,1544410800,Carnarvon,AU,113.63,-24.87,24.0,69,0,8.7,1544390930,1544440058
makakilo city,us,1544410680,Makakilo City,US,-158.09,21.35,23.9,66,1,5.1,1544461169,1544500275
yarmouth,ca,1544410800,Yarmouth,CA,-66.12,43.84,2.0,69,90,8.7,1544442466,1544474812
bonthe,sl,1544412308,Bonthe,SL,-12.5,7.53,27.05,84,0,2.31,1544424714,1544466827
pamplona,es,1544410800,Pamplona,ES,-1.64,42.82,12.0,81,80,3.1,1544426776,1544459543
vaitape,pf,1544412334,Vaitape,PF,-151.75,-16.52,28.83,96,44,7.26,1544455634,1544502773
kaya,bf,1544412335,Kaya,BF,-1.08,13.09,13.15,49,0,2.71,1544422553,1544463503
natal,br,1544410800,Natal,BR,-35.21,-5.81,27.0,78,40,2.1,1544428806,1544473642
strezhevoy,ru,1544410800,Strezhevoy,RU,77.6,60.73,-13.0,78,0,3.0,1544413624,1544434641
aksu,kz,1544410800,Aksu,KZ,76.93,52.04,-19.0,77,0,4.0,1544410151,1544438439
praya,id,1544410800,Praya,ID,116.27,-8.71,32.0,66,40,1.5,1544392140,1544437576
manta,ec,1544410800,Manta,EC,-80.73,-0.95,23.0,83,75,3.1,1544440231,1544484072
hami,cn,1544412300,Hami,CN,93.51,42.84,-16.73,47,0,0.16,1544403930,1544436702
tyumentsevo,ru,1544412343,Tyumentsevo,RU,81.5,53.32,-25.58,43,0,1.26,1544409457,1544436938
havre-saint-pierre,ca,1544410800,Havre-Saint-Pierre,CA,-63.6,50.23,-14.0,84,90,1.5,1544443379,1544472688
deputatskiy,ru,1544412345,Deputatskiy,RU,139.9,69.3,-43.28,0,8,1.16,0,0
halifax,ca,1544410800,Halifax,CA,-63.58,44.65,-7.0,92,90,4.6,1544442026,1544474033
mareeba,au,1544410800,Mareeba,AU,145.42,-16.99,28.0,78,75,6.7,1544384244,1544431477
sylacauga,us,1544411700,Sylacauga,US,-86.25,33.17,5.0,100,90,1.86,1544445457,1544481490
coxim,br,1544412351,Coxim,BR,-54.75,-18.5,25.3,59,24,4.01,1544432123,1544479711
kibaya,tz,1544412353,Kibaya,TZ,36.56,-5.32,16.15,98,92,1.51,1544411627,1544456361
norman wells,ca,1544410800,Norman Wells,CA,-126.83,65.28,-14.0,84,75,2.1,1544466486,1544479935
aljezur,pt,1544412356,Aljezur,PT,-8.8,37.31,13.75,100,12,1.41,1544427502,1544462256
sitka,us,1544412250,Sitka,US,-99.65,37.17,-5.28,71,0,1.36,1544449295,1544484085
lazaro cardenas,mx,1544410200,Lazaro Cardenas,MX,-105.62,28.39,8.0,61,5,3.1,1544449443,1544486806
leningradskiy,ru,1544412359,Leningradskiy,RU,178.42,69.38,-18.35,100,48,8.46,0,0
sayyan,ye,1544412360,Sayyan,YE,44.32,15.17,1.03,77,0,0.81,1544411876,1544452381
tonantins,br,1544412361,Tonantins,BR,-67.77,-2.86,23.88,97,36,2.86,1544436925,1544481156
rio verde de mato grosso,br,1544412363,Rio Verde de Mato Grosso,BR,-54.84,-18.92,22.98,68,20,1.91,1544432096,1544479781
nouadhibou,mr,1544412364,Nouadhibou,MR,-17.03,20.93,18.65,64,0,5.76,1544427251,1544466462
los llanos de aridane,es,1544410800,Los Llanos de Aridane,ES,-17.92,28.66,18.0,88,8,3.1,1544428420,1544465719
raudeberg,no,1544410200,Raudeberg,NO,5.14,61.99,4.0,100,92,8.7,1544431838,1544451219
kuala terengganu,my,1544410800,Kuala Terengganu,MY,103.14,5.33,27.0,88,75,2.1,1544396726,1544439291
wajir,ke,1544412369,Wajir,KE,40.07,1.75,21.75,98,36,1.76,1544411504,1544454797
orlik,ru,1544412341,Orlik,RU,99.83,52.51,-35.95,46,8,0.86,1544404796,1544432799
benoy,td,1544412371,Benoy,TD,16.32,8.98,16.83,52,0,2.06,1544417945,1544459758
kandrian,pg,1544412372,Kandrian,PG,149.55,-6.21,29.55,76,80,1.96,1544384410,1544429326
mahabad,ir,1544412373,Mahabad,IR,45.72,36.77,-2.58,98,68,1.16,1544414322,1544449258
ust-ishim,ru,1544412374,Ust-Ishim,RU,71.17,57.69,-16.33,77,68,2.06,1544413607,1544437747
nalut,ly,1544412375,Nalut,LY,10.98,31.86,4.53,82,0,2.76,1544421920,1544458342
almaznyy,ru,1544410800,Almaznyy,RU,40.04,48.03,1.0,98,75,7.0,1544417915,1544448389
cayenne,gf,1544410800,Cayenne,GF,-52.33,4.94,27.0,78,90,3.1,1544434012,1544476654
hamilton,bm,1544410500,Hamilton,BM,-64.78,32.3,19.0,88,90,10.3,1544440175,1544476463
sao joao da barra,br,1544412381,Sao Joao da Barra,BR,-41.05,-21.64,24.28,100,64,5.71,1544428462,1544476794
ribeira grande,pt,1544412246,Ribeira Grande,PT,-28.7,38.52,18.73,95,92,11.11,1544432484,1544466829
apricena,it,1544406900,Apricena,IT,15.44,41.78,8.0,87,5,6.2,1544422472,1544455646
lavrentiya,ru,1544412289,Lavrentiya,RU,-170.99,65.58,-10.28,100,36,11.66,1544477476,1544490149
morar,in,1544412386,Morar,IN,78.32,26.25,13.3,79,0,1.76,1544405000,1544442929
turochak,ru,1544412387,Turochak,RU,87.12,52.26,-25.18,60,0,0.96,1544407771,1544435927
samdrup jongkhar,bt,1544412389,Samdrup Jongkhar,BT,91.51,26.8,13.3,65,0,0.91,1544401903,1544439693
montrose,us,1544411700,Montrose,US,-107.88,38.48,-1.0,77,1,3.6,1544451491,1544485841
mezhdurechensk,ru,1544412395,Mezhdurechensk,RU,88.07,53.69,-26.78,46,8,1.01,1544408002,1544435239
maseru,ls,1544412397,Maseru,LS,27.48,-29.31,7.0,74,36,1.11,1544411015,1544461340
sao pedro do sul,br,1544412398,Sao Pedro do Sul,BR,-54.18,-29.62,17.93,70,24,1.66,1544430572,1544480991
jalu,ly,1544412400,Jalu,LY,21.55,29.03,10.03,85,0,3.31,1544418992,1544456195
tomatlan,mx,1544412401,Tomatlan,MX,-105.25,19.93,22.0,89,68,0.61,1544448318,1544487755
acari,pe,1544412402,Acari,PE,-74.62,-15.44,16.58,82,68,0.66,1544437240,1544484134
kichera,ru,1544412403,Kichera,RU,110.1,55.93,-23.43,100,48,1.06,1544403521,1544429141
varniai,lt,1544410200,Varniai,LT,22.37,55.74,2.0,100,90,3.1,1544424520,1544450266
marsh harbour,bs,1544412299,Marsh Harbour,BS,-77.06,26.54,26.08,100,76,9.16,1544442345,1544480190
pitea,se,1544410200,Pitea,SE,21.48,65.32,1.0,100,92,2.6,1544430882,1544444327
auki,sb,1544412408,Auki,SB,160.7,-8.77,28.63,100,48,2.21,1544381467,1544426915
launceston,au,1544410800,Launceston,AU,147.14,-41.43,23.0,38,40,1.5,1544380278,1544434629
port lincoln,au,1544412411,Port Lincoln,AU,135.86,-34.72,19.83,82,12,6.01,1544384188,1544436130
grand-santi,gf,1544412412,Grand-Santi,GF,-54.38,4.27,22.98,97,48,1.41,1544434436,1544477215
lompoc,us,1544411700,Lompoc,US,-120.46,34.64,13.3,81,1,2.1,1544453892,1544489481
hervey bay,au,1544410800,Hervey Bay,AU,152.85,-25.3,29.0,48,92,7.7,1544381461,1544430696
tutoia,br,1544412416,Tutoia,BR,-42.27,-2.76,24.73,94,48,2.11,1544430813,1544475024
zatoka,ua,1544410800,Zatoka,UA,23.68,49.85,3.0,93,75,4.0,1544422314,1544451846
sabha,ly,1544412418,Sabha,LY,14.43,27.03,3.73,79,0,1.26,1544420440,1544458166
lena,no,1544410200,Lena,NO,10.81,60.68,0.0,72,0,1.5,1544429641,1544450694
bridlington,gb,1544410200,Bridlington,GB,-0.19,54.08,2.0,100,0,2.6,1544429334,1544456285
kampong cham,kh,1544412422,Kampong Cham,KH,105.46,11.99,28.0,89,44,2.31,1544396858,1544438044
ponta delgada,pt,1544409000,Ponta Delgada,PT,-25.67,37.73,18.0,88,75,7.2,1544431623,1544466235
iqaluit,ca,1544410800,Iqaluit,CA,-68.52,63.75,-22.0,76,90,4.6,1544450907,1544467517
ayna,pe,1544412425,Ayna,PE,-73.91,-12.72,16.43,88,80,0.71,1544437368,1544483664
westport,nz,1544412427,Westport,NZ,171.6,-41.75,19.73,78,80,1.11,1544374342,1544428820
excelsior springs,us,1544411700,Excelsior Springs,US,-94.23,39.34,-2.8,85,1,1.31,1544448362,1544482415
batouri,cm,1544412429,Batouri,CM,14.36,4.44,18.28,81,0,1.96,1544417950,1544460695
camocim,br,1544412430,Camocim,BR,-40.84,-2.9,24.0,94,64,3.41,1544430456,1544474695
kerouane,gn,1544412431,Kerouane,GN,-12.34,12.23,15.18,84,0,0.91,1544425166,1544466298
riacho de santana,br,1544412432,Riacho de Santana,BR,-42.94,-13.61,21.28,89,92,4.71,1544429837,1544476325
praia da vitoria,pt,1544407200,Praia da Vitoria,PT,-27.07,38.73,17.0,93,75,10.86,1544432128,1544466402
yasnyy,ru,1544412436,Yasnyy,RU,44.09,64.04,-5.6,77,80,2.76,1544424106,1544440248
sri aman,my,1544410800,Sri Aman,MY,111.46,1.24,30.0,79,75,0.5,1544394313,1544437709
zyryanovsk,kz,1544412438,Zyryanovsk,KZ,84.27,49.74,-24.68,55,0,1.41,1544407732,1544437335
benjamin constant,br,1544410800,Benjamin Constant,BR,-70.03,-4.38,24.0,100,40,1.61,1544437312,1544481855
egvekinot,ru,1544412440,Egvekinot,RU,-179.17,66.32,-23.58,67,32,3.31,1544480513,1544491038
guarapari,br,1544407200,Guarapari,BR,-40.5,-20.67,22.0,83,75,1.5,1544428447,1544476545
moindou,nc,1544410800,Moindou,NC,165.68,-21.69,27.0,57,64,9.3,1544378832,1544427163
le mars,us,1544411700,Le Mars,US,-96.17,42.79,-6.0,92,90,2.6,1544449471,1544482237
manokwari,id,1544412445,Manokwari,ID,134.08,-0.87,27.68,100,12,2.16,1544388669,1544432493
ornskoldsvik,se,1544410200,Ornskoldsvik,SE,18.72,63.29,3.0,100,90,3.1,1544429550,1544446986
shenjiamen,cn,1544412447,Shenjiamen,CN,122.3,29.96,15.53,100,92,8.76,1544394926,1544431886
fallon,us,1544410560,Fallon,US,-105.12,46.84,-4.4,77,1,2.6,1544452491,1544483513
susangerd,ir,1544410800,Susangerd,IR,48.19,31.56,12.0,87,8,1.0,1544412943,1544449453
silver city,us,1544411700,Silver City,US,-108.28,32.77,1.3,87,1,3.1,1544450688,1544486837
les cayes,ht,1544412453,Les Cayes,HT,-73.75,18.19,26.9,100,0,9.86,1544440557,1544480391
monte gordo,pt,1544412456,Monte Gordo,PT,-7.73,39.81,4.73,90,0,2.46,1544427673,1544461570
gilgit,pk,1544412457,Gilgit,PK,74.31,35.92,-7.85,90,76,0.21,1544407321,1544442532
agutaya,ph,1544412458,Agutaya,PH,120.94,11.15,27.0,100,12,9.41,1544393053,1544434416
pangody,ru,1544412459,Pangody,RU,74.49,65.85,-9.7,84,88,5.56,1544418817,1544430939
sol-iletsk,ru,1544412460,Sol-Iletsk,RU,55.0,51.16,-7.78,86,68,1.16,1544415157,1544443963
madimba,tz,1544407200,Madimba,TZ,40.33,-10.4,25.0,100,40,2.31,1544410192,1544455987
revda,ru,1544412464,Revda,RU,34.55,67.94,-5.7,78,88,1.16,0,0
fukuma,jp,1544410800,Fukuma,JP,130.47,33.77,10.0,53,75,3.1,1544393506,1544429382
bontang,id,1544412467,Bontang,ID,117.47,0.12,30.53,85,8,3.41,1544392757,1544436380
bintulu,my,1544410800,Bintulu,MY,113.03,3.17,28.0,88,75,1.5,1544394132,1544437136
dhidhdhoo,mv,1544412269,Dhidhdhoo,MV,73.1,6.88,28.13,100,0,2.51,1544404096,1544446344
reque,pe,1544410800,Reque,PE,-79.82,-6.87,19.0,29,40,6.2,1544439406,1544484462
lakshmeshwar,in,1544412472,Lakshmeshwar,IN,75.47,15.13,22.83,69,0,1.86,1544404393,1544444907
sinnamary,gf,1544412473,Sinnamary,GF,-52.96,5.38,26.38,95,100,5.36,1544434208,1544476761
spassk-ryazanskiy,ru,1544412474,Spassk-Ryazanskiy,RU,40.38,54.41,0.48,94,92,6.36,1544419704,1544446435
biltine,td,1544412475,Biltine,TD,20.93,14.53,16.23,37,0,5.26,1544417423,1544458065
saint-denis,re,1544410800,Saint-Denis,RE,55.47,-20.87,28.0,65,0,1.0,1544405386,1544453526
bathsheba,bb,1544410800,Bathsheba,BB,-59.52,13.22,26.0,69,40,7.7,1544436598,1544477518
rock sound,bs,1544412479,Rock Sound,BS,-76.2,24.9,26.53,100,12,6.81,1544441933,1544480190
acapulco,mx,1544410140,Acapulco,MX,-99.88,16.86,26.0,83,75,1.5,1544446683,1544486812
walvis bay,na,1544410800,Walvis Bay,NA,14.51,-22.95,15.0,82,90,6.2,1544414965,1544463615
farah,af,1544412484,Farah,AF,62.11,32.37,3.28,85,0,1.11,1544409716,1544445996
bud,no,1544410200,Bud,NO,6.91,62.91,5.0,80,90,4.1,1544432085,1544450122
prince rupert,ca,1544411340,Prince Rupert,CA,-130.32,54.32,7.0,93,90,6.2,1544460673,1544487428
khash,ir,1544412487,Khash,IR,61.21,28.22,-1.85,73,0,1.21,1544409362,1544446782
yzeure,fr,1544410800,Yzeure,FR,3.36,46.57,8.0,87,75,4.6,1544426376,1544457541
ndele,cf,1544412490,Ndele,CF,20.65,8.41,18.08,60,0,2.76,1544416846,1544458778
waingapu,id,1544412493,Waingapu,ID,120.26,-9.65,29.68,83,20,2.11,1544391083,1544436717
myrtle beach,us,1544411700,Myrtle Beach,US,-78.89,33.7,5.0,100,90,2.1,1544443768,1544479645
dzaoudzi,yt,1544410800,Dzaoudzi,YT,45.27,-12.79,28.0,78,20,3.1,1544408750,1544455057
guerande,fr,1544410800,Guerande,FR,-4.17,48.47,10.0,87,0,3.6,1544428642,1544458890
norsup,vu,1544412498,Norsup,VU,167.38,-16.07,29.18,77,48,4.31,1544379076,1544426101
aylmer,ca,1544410800,Aylmer,CA,-80.98,42.77,-3.0,79,90,3.6,1544445819,1544478595
moron,mn,1544412501,Moron,MN,110.32,47.38,-21.45,66,8,1.51,1544400879,1544431681
gallup,us,1544410380,Gallup,US,-108.74,35.53,-1.1,87,1,1.16,1544451215,1544486530
brae,gb,1544410200,Brae,GB,-1.35,60.4,5.0,86,12,10.3,1544432399,1544453774
renqiu,cn,1544412504,Renqiu,CN,116.1,38.71,-4.53,50,36,2.06,1544397745,1544432042
urla,tr,1544410200,Urla,TR,26.77,38.32,8.0,100,90,2.6,1544419130,1544453549
durango,us,1544410800,Durango,US,-107.88,37.28,-2.2,95,40,2.6,1544451290,1544486042
barroso,br,1544410800,Barroso,BR,-46.22,-23.67,17.0,93,0,3.1,1544429453,1544478286
berdigestyakh,ru,1544412512,Berdigestyakh,RU,126.7,62.1,-29.5,61,64,1.61,1544402706,1544421983
dwarka,in,1544410800,Dwarka,IN,77.04,28.58,14.0,67,12,2.1,1544405609,1544442935
hammerfest,no,1544410200,Hammerfest,NO,23.68,70.66,-1.0,92,90,5.7,0,0
alvaraes,br,1544412516,Alvaraes,BR,-64.8,-3.22,22.4,100,56,1.51,1544436175,1544480480
schiffdorf,de,1544410200,Schiffdorf,DE,8.66,53.54,6.0,80,20,7.2,1544427026,1544454344
palmerston north,nz,1544412357,Palmerston North,NZ,175.62,-40.35,22.08,52,0,6.56,1544373655,1544427577
dunedin,nz,1544412519,Dunedin,NZ,170.5,-45.87,11.38,88,92,2.86,1544373696,1544429998
luganville,vu,1544412521,Luganville,VU,167.18,-15.51,28.0,98,8,6.31,1544379187,1544426086
dombarovskiy,ru,1544412522,Dombarovskiy,RU,59.54,50.76,-20.58,54,48,1.31,1544413953,1544442988
sassandra,ci,1544412523,Sassandra,CI,-6.09,4.95,27.78,100,24,4.01,1544422911,1544465552
apt,fr,1544410800,Apt,FR,5.4,43.88,8.0,65,0,3.1,1544425299,1544457639
lyubuchany,ru,1544410800,Lyubuchany,RU,37.55,55.25,0.0,97,90,3.0,1544420688,1544446809
tabuk,sa,1544407200,Tabuk,SA,36.58,28.38,7.0,70,0,1.31,1544415297,1544452674
kaeo,nz,1544412529,Kaeo,NZ,173.78,-35.1,24.8,42,24,6.56,1544375025,1544427087
vardo,no,1544412530,Vardo,NO,31.11,70.37,1.15,100,68,4.11,0,0
asosa,et,1544412533,Asosa,ET,34.53,10.07,18.08,44,24,2.26,1544413686,1544455273
charters towers,au,1544412534,Charters Towers,AU,146.27,-20.07,23.8,99,92,6.06,1544383684,1544431630
marsabit,ke,1544412535,Marsabit,KE,37.99,2.34,20.68,98,64,0.96,1544412063,1544455236
naryan-mar,ru,1544412537,Naryan-Mar,RU,53.09,67.67,-7.0,77,64,5.86,1544427898,1544432132
kardla,ee,1544410200,Kardla,EE,26.57,58.44,2.0,93,90,4.1,1544424667,1544448101
nuuk,gl,1544410200,Nuuk,GL,-51.74,64.17,-9.0,85,36,7.2,1544447259,1544463108
port hedland,au,1544410800,Port Hedland,AU,118.58,-20.31,32.0,66,0,8.2,1544390303,1544438307
pedana,in,1544410800,Pedana,IN,81.15,16.26,24.0,88,40,2.16,1544403153,1544443420
ola,ru,1544412263,Ola,RU,151.3,59.58,-13.45,100,12,5.91,1544395275,1544417604
abha,sa,1544407200,Abha,SA,42.5,18.22,11.0,93,5,0.86,1544412649,1544452481
mitsamiouli,km,1544412547,Mitsamiouli,KM,43.28,-11.38,27.78,97,0,5.11,1544409379,1544455383
rantepao,id,1544412548,Rantepao,ID,119.9,-2.97,25.8,82,12,0.76,1544391860,1544436112
gien,fr,1544412549,Gien,FR,2.63,47.69,7.0,91,88,5.36,1544426816,1544457451
dafeng,cn,1544412550,Dafeng,CN,120.46,33.2,8.65,99,92,6.91,1544395825,1544431869
hofn,is,1544412552,Hofn,IS,-15.21,64.25,-2.23,100,20,1.96,1544438556,1544454271
igarka,ru,1544412331,Igarka,RU,86.57,67.47,-14.7,84,68,5.11,1544419085,1544424869
kotelnich,ru,1544412554,Kotelnich,RU,48.34,58.31,-5.38,91,64,3.21,1544419376,1544442940
bonfim,br,1544407200,Bonfim,BR,-44.24,-20.33,17.0,82,0,3.1,1544429385,1544477403
fontenay-le-comte,fr,1544410800,Fontenay-le-Comte,FR,-0.81,46.47,9.0,93,0,3.6,1544427354,1544458565
sal rei,cv,1544410800,Sal Rei,CV,-22.92,16.18,22.0,83,20,3.1,1544428131,1544468412
tiznit,ma,1544412559,Tiznit,MA,-9.73,29.7,13.33,81,0,0.71,1544426593,1544463613
uzhur,ru,1544412560,Uzhur,RU,89.85,55.32,-26.13,65,36,1.26,1544408152,1544434234
awbari,ly,1544412562,Awbari,LY,12.77,26.59,2.4,75,0,1.21,1544420783,1544458621
kotka,fi,1544410200,Kotka,FI,26.95,60.47,1.0,100,90,4.1,1544425641,1544446944
kultuk,ru,1544412564,Kultuk,RU,103.71,51.73,-20.75,100,0,1.46,1544403626,1544432106
mattru,sl,1544412566,Mattru,SL,-11.83,7.62,23.8,91,0,1.41,1544424563,1544466657
la ronge,ca,1544410800,La Ronge,CA,-105.3,55.1,-9.0,85,5,2.1,1544454945,1544481143
jadu,ly,1544412568,Jadu,LY,12.03,31.95,4.78,87,0,2.96,1544421681,1544458077
burnie,au,1544412569,Burnie,AU,145.91,-41.05,17.58,90,0,6.61,1544380649,1544434849
guerrero negro,mx,1544412282,Guerrero Negro,MX,-114.04,27.97,15.58,67,0,3.76,1544451409,1544488882
shingu,jp,1544410800,Shingu,JP,135.99,33.72,10.0,46,75,4.1,1544392173,1544428065
bodden town,ky,1544410800,Bodden Town,KY,-81.25,19.28,25.0,88,0,3.66,1544442481,1544482068
sobolevo,ru,1544412544,Sobolevo,RU,31.9,54.43,-0.35,96,88,6.11,1544421748,1544448463
vila velha,br,1544407200,Vila Velha,BR,-38.6,-3.71,27.0,83,75,3.1,1544429835,1544474240
maymyo,mm,1544409000,Maymyo,MM,96.47,22.03,22.0,78,20,1.5,1544400128,1544439088
ayagoz,kz,1544412578,Ayagoz,KZ,80.43,47.96,-24.48,54,0,1.46,1544408198,1544438713
